,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CategoryOfMaterial,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,Condition3Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized),Unnamed: 29,Unnamed: 30
0,First Pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,*,*,,,*,*,533,"at least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""","Form of item (008/23 except for formats Cartographic Materials or Vistual Materials, which uise 008/29)",o,,,"For Monographs (not Continuing Resources)
Mint an IRI for the original manifestation (originalM) to which parts of the 008 and other fields are related.  
Relate it to the same expression of the same work as the manifestation for the reproduction described by the record (reproM) is related, with this property:  http://rdaregistry.info/Elements/m/P30136 ""Has expression manifested"".
Relate originalM to reproM with property http://rdaregistry.info/Elements/m/P30043 """"is electronic reproduction of manifestation of""", is electronic reproduction of manifestation of ,IRI,"By definition, use of 533 indicates a MARC record is describing a reproduction - with exception of some early records that recorded presence of a related electronic record in the print record reproduced, using this tag.  The 533 contains descriptive elements of the reproduction, but parts of the main description such as date of creation or publication describe the original reproduced, including elements of the 008.  Use the ""electronic reproduction"" property when record has Form fixed field ""electronic"" -LA 3/3/2024","Use the same ""originalM"" URI for all of the conditional mappings for 008 and other tags. - la 3/3/2024",,"These conditions do not include all ""Provider neutral"" records that are electronic reproductions.  533 is not included for PN unless it is for ""digital master"" digitization projects like Hathi Trust.  5xx fields are permitted if the reproduction is of an institution specific copy, e.g. a rare book, only with addition of $5 institution symbol.  But ""Provider neutral"" online records that are reproductions also are specified to have original descriptive elements in most 008 bytes except for the Form of Item byte which is ""o"" (online) and in 250, 264   

Mapping for PN records (distinguishable by 040 subfield $e ""pn"") which do not contain a 533 tag needs further analysis and may not be part of this mapping..  See https://www.loc.gov/aba/pcc/scs/documents/PN-RDA-Combined.pdf . and also OCLC's  https://www.oclc.org/bibformats/en/specialcataloging.html#providerneutralcataloging .  Instructions say to describe the original in parts of 008, 250, 264 in There does not appear to be a definitive data element indicating that a PN record is for a reproduction -- provider-neutral designation may be given to an electronic resource that does not reproduce another resource.  However, see instructions for 588 note and 776 for examples of what may be consistent language.  ",,"See 533 Issue https://github.com/uwlib-cams/MARC2RDA/issues/207 and Reproductions discussion https://github.com/uwlib-cams/MARC2RDA/discussions/385 

Logic based on LC pCC PS 1.11: Facsimiles and Reproductions October 23, 2014 https://www.loc.gov/aba/pcc/documents/1-11-LC-PCC-PS.docx "
1,First Pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,*,*,,,*,*,533,"at least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""","Form of item (008/23 except for formats Cartographic Materials or Vistual Materis, which uise 008/29)","not ""o""",,,"Mint an IRI for the original manifestation (originalM) to which parts of the 008 and other fields are related.  
Relate it to the same expression of the same work as the manifestation for the reproduction described by the record (reproM) is related, with this property:  http://rdaregistry.info/Elements/m/P30136 ""Has expression manifested"".
Relate originalM to reproM with property http://rdaregistry.info/Elements/m/P30043 """"is reproduction of manifestation of""", is reproduction of manifestation of ,IRI,"By definition, use of 533 indicates a MARC record is describing a reproduction - with exception of some early records that recorded presence of a related electronic record in the print record reproduced, using this tag.  The 533 contains descriptive elements of the reproduction, but parts of the main description such as date of creation or publication describe the original reproduced, including elements of the 008.  Use ""is reproduction..."" property when Form fixed field is not ""electronic"" -LA 3/3/2024",,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,To be added to 008 parallel mappings,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,00-17,,,,,,533,"Not present, or if any are present, each contains in $a the phrase ""also available as"".  ",,,,,,,,,,,,,
4,reviewed (Condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,06,Type of date/Publication status,,,c,Continuing resource currently published,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM defined above, value=  ""Continuing resource currently published.""",,,,
5,reviewed (Condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,06,Type of date/Publication status,,,d,Continuing resource ceased publication,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above. 
value=  """"Continuing resource ceased publication.""""",,,,
6,reviewed (Condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,c,008/07-10,*,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"Apply this property to OriginalM URI defined above
[date]/.. | u=blank",,,,
7,reviewed (Condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,c,008/07-10,,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above
value = ""Date of publication unknown.""",,,,
8,reviewed (Condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,"07-10, 11-14","Date 1, Date 2",,,,,008 06,d,008/07-10,,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"Apply this property to OriginalM URI defined above
/[date2] | u=blank",,,,
9,reviewed (Condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,"07-10, 11-14","Date 1, Date 2",,,,,008 06,d,008/07-10,*,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"Apply this property to OriginalM URI defined above
[date1]/ | u=blank",,,,
10,reviewed (Condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,"07-10, 11-14","Date 1, Date 2",,,,,008 06,d,008/07-10,,,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above
value = ""Ceased publication. Publication start and end dates unknown.""",,,,
11,reviewed (Condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,"07-10, 11-14","Date 1, Date 2",,,,,008 06,e,008/07-10,*,,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"Apply this property to OriginalM URI defined above
date1 + date2 normalized yyyy-mm-dd | u=blank",,,,
12,reviewed (Condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,"07-10, 11-14","Date 1, Date 2",,,,,008 06,i,008/07-10,,,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"Apply this property to OriginalM URI defined above
/[date] | u=blank",,,,
13,reviewed (Condition transferred),,,,,,,,,,"07-10, 11-14","Date 1, Date 2",,,,,008 06,i,008/07-10,*,,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"Apply this property to OriginalM URI defined above
[date]/ | u=blank",,,,
14,reviewed (Condition transferred),,,,,,,,,,"07-10, 11-14","Date 1, Date 2",,,,,008 06,i,008/07-10,,,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above
value = ""Dates of collection unknown.""",,,,
15,reviewed (Condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,"07-10, 11-14","Date 1, Date 2",,,,,008 06,m,008/07-10,,,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"Apply this property to OriginalM URI defined above
/[date] | u=blank",,,,
16,reviewed (Condition transferred),,,,,,,,,,"07-10, 11-14","Date 1, Date 2",,,,,008 06,m,008/07-10,*,,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"Apply this property to OriginalM URI defined above
[date]/ | u=blank",,,,
17,reviewed (Condition transferred),,,,,,,,,,"07-10, 11-14","Date 1, Date 2",,,,,008 06,m,008/07-10,,,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above
value = ""Dates of publication unknown.""",,,,
18,reviewed (Condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,p,008/07-10,*,,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"Apply this property to OriginalM URI defomed abpve
[date]/.. | u=blank",,,,
19,reviewed (Condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,,07-10,Date 1,,,,,008 06,p,008/07-10,,,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above
value = ""Date of manifestation unknown.""",,,,
20,reviewed (Condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,"07-10, 11-14","Date 1, Date 2",,,,,008 06,q,008/07-10,*,,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"Apply this property to OriginalM URI defined above
[date1..date2] | u=blank | partial blank = fill in blanks as X",,,,
21,reviewed (Condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,s,008/07-10,*,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30011,has date of publication,structured,,Apply this property to OriginalM URI defined above,,,,
22,reviewed (Condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,,07-10,Date 1,,,,,008 06,s,008/07-10,,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above
value = ""Date of publication unknown.""",,,,
23,reviewed (Condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,t,008/07-10,*,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30011,has date of publication,structured,,Apply this property to OriginalM URI defined above,,,,
24,reviewed (Condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,,07-10,Date 1,,,,,008 06,t,008/07-10,,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above
""value = ""Date of publication unknown.""",,,,
25,reviewed (Condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,u,008/07-10,*,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"Apply this property to OriginalM URI defined above
date1/..",,,,
26,reviewed (Condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,u,008/07-10,,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above
value= ""Continuing resource. Start and end dates unknown.""",,,,
27,first pass (already deleted from current spreadsheet),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,t,,,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30137,has note on manifestation,structured,,"Apply this property to OriginalM URI defined above
value = ""Has copyright notice date, phonogram copyright notice date, or deposit date"" + date",,,,
28,?  delete ï¼ˆalready deleted from current spreadsheet),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,u,Date element is totally or partially unknown,,,,,,,,,,"Included in conditions for Date 1, Date 2",,,Question to Crystal,,
29,reviewed (Condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,15-17,"Place of publication, production, or execution",,,,,,,,,Check for Reproduction Conditions 1 and 2,,http://rdaregistry.info/Elements/m/P30279,has place of manifestation,IRI,,"If a Reproduction condition is present, apply mapping and transformation to OriginalM, not ReproM

Append code to http://id.loc.gov/vocabulary/countries/ for IRI value",,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,reviewed (condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,BOOKS,23,Form of item,,,a,Microfilm,,,,,,,http://rdaregistry.info/Elements/m/P30001,has carrier type,IRI,Only narrower terms available in RDA and LOC vocabularies for carriers,https://doi.org/10.6069/uwlswd.dh5m-5y16#a,,,,
32,reviewed (condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,BOOKS,23,Form of item,,,b,Microfiche,,,,,,,http://rdaregistry.info/Elements/m/P30001,has carrier type,IRI,,http://rdaregistry.info/termList/RDACarrierType/1022,,,,
33,reviewed (condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,BOOKS,23,Form of item,,,c,Microopaque,,,,,,,http://rdaregistry.info/Elements/m/P30001,has carrier type,IRI,,http://rdaregistry.info/termList/RDACarrierType/1028,,,,
34,reviewed (condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,BOOKS,23,Form of item,,,d,Large print,,,,,,,http://rdaregistry.info/Elements/m/P30199,font size,IRI,,http://rdaregistry.info/termList/fontSize/1002,,,,
35,reviewed (condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,BOOKS,23,Form of item,,,f,Braille,,,,,,,http://rdaregistry.info/Elements/e/P20061,form of tactile notation,IRI,,http://rdaregistry.info/termList/TacNotation/1001,,,,
36,reviewed (condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,BOOKS,23,Form of item,,,f,Braille,,,,,,,http://rdaregistry.info/Elements/m/P30001,has carrier type,IRI,,,,,,
37,reviewed (condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,BOOKS,23,Form of item,,,g,Punched paper tape [OBSOLETE],,,,,,,http://rdaregistry.info/Elements/m/P30001,has carrier type,IRI,,https://doi.org/10.6069/uwlswd.dh5m-5y16#gx,,,,
38,reviewed (condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,BOOKS,23,Form of item,,,h,Magnetic tape [OBSOLETE],,,,,,,http://rdaregistry.info/Elements/m/P30001,has carrier type,IRI,,http://metadataregistry.org/concept/show/id/3807.html,,,,
39,reviewed (condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,BOOKS,23,Form of item,,,i,Multimedia [OBSOLETE],,,,,,,http://rdaregistry.info/Elements/m/P30001,has carrier type,IRI,,"value = ""Multimedia""",,,,
40,reviewed (condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,BOOKS,23,Form of item,,,o,Online,,,,,,,http://rdaregistry.info/Elements/m/P30001,has carrier type,IRI,,http://rdaregistry.info/termList/RDACarrierType/1018,,,,
41,reviewed (condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,BOOKS,23,Form of item,,,q,Direct electronic,,,,,,,http://rdaregistry.info/Elements/m/P30001,has carrier type,IRI,Only narrower terms available in RDA and LOC vocabularies for carriers,https://doi.org/10.6069/uwlswd.dh5m-5y16#q,,,,
42,reviewed (condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,BOOKS,23,Form of item,,,r,Regular print reproduction,,,,,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,http://metadataregistry.org/concept/show/id/3804.html,,,,
43,reviewed (condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,BOOKS,23,Form of item,,,s,Electronic,,,,,,,http://rdaregistry.info/Elements/m/P30002,has media type,IRI,,http://rdaregistry.info/termList/RDAMediaType/1003,,,,
44,reviewed (condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,BOOKS,23,Form of item,,,z,Other form of reproduction [OBSOLETE],,,,,,,http://rdaregistry.info/Elements/m/P30001,has carrier type,IRI,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,reviewed (condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,CONTINUING RESOURCES,19,Regularity,,,n,Normalized irregular,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above.
""Regularity: [value].""",,see also 008/18 and  006/02,,
47,reviewed (condition transferred),8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,CONTINUING RESOURCES,19,Regularity,,,r,Regular,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above.
""Regularity: [value].""",,see also 008/18 and  006/02,,
